Date,Open,High,Low,Close,Adj Close,Volume
1993-08-13,2.792143,2.805898,2.750880,2.750880,1.830001,16809165
1993-08-16,2.764635,2.764635,2.668354,2.723371,1.811701,3887846
1993-08-17,2.695863,2.723371,2.682108,2.682108,1.784251,832461
1993-08-18,2.682108,2.750880,2.682108,2.723371,1.811701,1232333
1993-08-19,2.709617,2.778389,2.695863,2.778389,1.848302,946061
1993-08-20,2.778389,2.819652,2.764635,2.805898,1.866602,527104
1993-08-23,2.792143,2.792143,2.764635,2.764635,1.839152,166310
1993-08-24,2.778389,2.778389,2.750880,2.750880,1.830001,402598
1993-08-25,2.750880,2.778389,2.750880,2.778389,1.848302,243558
1993-08-26,2.778389,2.805898,2.778389,2.778389,1.848302,326259
1993-08-27,2.778389,2.833407,2.778389,2.805898,1.866602,375334
1993-08-30,2.819652,2.833407,2.792143,2.805898,1.866602,137229
1993-08-31,2.819652,2.819652,2.792143,2.819652,1.875752,265370
1993-09-01,2.792143,2.805898,2.792143,2.805898,1.866602,223565
1993-09-02,2.805898,2.805898,2.750880,2.750880,1.830001,149952
1993-09-03,2.750880,2.778389,2.695863,2.695863,1.793402,58163
1993-09-07,2.723371,2.778389,2.723371,2.723371,1.811701,1118733
1993-09-08,2.750880,2.750880,2.599582,2.640845,1.756802,237197
1993-09-09,2.613336,2.640845,2.613336,2.627091,1.747652,315354
1993-09-10,2.640845,2.640845,2.517055,2.530810,1.683601,172672
1993-09-13,2.530810,2.585827,2.530810,2.530810,1.683601,364429
1993-09-14,2.558319,2.558319,2.393266,2.393266,1.592102,1376832
1993-09-15,2.338248,2.530810,2.255722,2.530810,1.683601,2048435
1993-09-16,2.530810,2.530810,2.448283,2.517055,1.674452,281728
1993-09-17,2.489547,2.613336,2.489547,2.599582,1.729352,891533
1993-09-20,2.640845,2.668354,2.558319,2.558319,1.701903,550733
1993-09-21,2.530810,2.530810,2.448283,2.489547,1.656151,272640
1993-09-22,2.489547,2.489547,2.434529,2.462038,1.637852,172672
1993-09-23,2.448283,2.448283,2.393266,2.407020,1.601252,1075110
1993-09-24,2.407020,2.489547,2.407020,2.475792,1.647002,546189
1993-09-27,2.475792,2.558319,2.475792,2.544564,1.692752,98150
1993-09-28,2.544564,2.558319,2.544564,2.544564,1.692752,111782
1993-09-29,2.750880,2.750880,2.709617,2.750880,1.830001,896077
1993-09-30,2.750880,2.915933,2.750880,2.902179,1.930652,1440448
1993-10-01,2.902179,2.902179,2.805898,2.860915,1.903201,623437
1993-10-04,2.833407,2.860915,2.819652,2.819652,1.875752,439859
1993-10-05,2.764635,2.764635,2.668354,2.668354,1.775102,548006
