Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,6.650000,6.700000,6.410000,6.420000,6.420000,42300
2023-08-15,6.620000,6.950000,6.220000,6.270000,6.270000,77600
2023-08-16,6.350000,6.780000,6.100000,6.580000,6.580000,51200
2023-08-17,6.460000,6.835000,6.300000,6.500000,6.500000,24000
2023-08-18,6.230000,6.500000,6.100000,6.260000,6.260000,16000
2023-08-21,6.350000,6.500000,6.350000,6.400000,6.400000,13500
2023-08-22,6.400000,6.400000,6.210000,6.230000,6.230000,23500
2023-08-23,6.500000,6.500000,6.050000,6.370000,6.370000,26900
2023-08-24,6.480000,6.550000,6.260000,6.300000,6.300000,31700
2023-08-25,6.150000,6.550000,6.150000,6.380000,6.380000,37200
2023-08-28,6.340000,6.650000,6.260000,6.400000,6.400000,29500
2023-08-29,6.660000,6.660000,6.260000,6.385000,6.385000,32800
2023-08-30,6.420000,6.770000,6.206000,6.385000,6.385000,59100
2023-08-31,6.410000,6.558000,6.250000,6.274000,6.274000,8900
2023-09-01,6.290000,6.380000,6.161000,6.180000,6.180000,5500
2023-09-05,6.380000,6.590000,6.100000,6.140000,6.140000,60100
2023-09-06,6.150000,6.150000,5.800000,5.830000,5.830000,13400
2023-09-07,5.920000,6.040000,5.870000,6.040000,6.040000,34100
2023-09-08,5.890000,6.400000,5.890000,6.100000,6.100000,6800
2023-09-11,6.058000,6.060000,5.950000,5.950000,5.950000,14000
2023-09-12,6.000000,6.240000,5.900000,5.900000,5.900000,13900
2023-09-13,5.700000,5.700000,3.900000,4.190000,4.190000,63600
2023-09-14,4.710000,4.710000,3.420000,3.550000,3.550000,33600
2023-09-15,3.600000,3.810000,3.000000,3.170000,3.170000,20700
2023-09-18,3.820000,6.480000,3.511000,4.400000,4.400000,2979000
2023-09-19,4.560000,4.770000,4.200000,4.219000,4.219000,141700
2023-09-20,4.180000,4.353000,3.920000,4.180000,4.180000,69900
2023-09-21,4.180000,4.720000,4.050000,4.490000,4.490000,41900
2023-09-22,4.400000,5.300000,4.060000,4.410000,4.410000,81500
2023-09-25,4.600000,5.210000,4.420000,4.490000,4.490000,66800
2023-09-26,4.500000,5.090000,4.350000,4.350000,4.350000,78800
2023-09-27,4.350000,4.940000,4.350000,4.650000,4.650000,90400
2023-09-28,4.611000,4.990000,4.510000,4.785000,4.785000,12400
2023-09-29,4.730000,4.980000,4.650000,4.650000,4.650000,6600
2023-10-02,4.815000,4.815000,4.670000,4.670000,4.670000,3300
2023-10-03,4.650000,4.890000,4.530000,4.700000,4.700000,12700
2023-10-04,4.755000,4.980000,4.580000,4.670000,4.670000,7400
2023-10-05,4.770000,4.960000,4.510000,4.700000,4.700000,7100
2023-10-06,4.760000,4.890000,4.540000,4.760000,4.760000,17900
2023-10-09,4.880000,4.910000,4.080000,4.330000,4.330000,28900
2023-10-10,4.170000,4.360000,3.840000,3.840000,3.840000,27000
2023-10-11,3.976000,4.000000,3.405000,3.420000,3.420000,12900
2023-10-12,3.260000,3.300000,2.800000,2.960000,2.960000,38600
2023-10-13,2.970000,3.008000,2.760000,2.870000,2.870000,10100
2023-10-16,2.790000,2.960000,2.780000,2.870000,2.870000,18800
2023-10-17,3.150000,3.160000,3.045000,3.160000,3.160000,3600
2023-10-18,3.190000,3.281000,3.040000,3.040000,3.040000,2500
2023-10-19,3.125000,3.340000,3.125000,3.300000,3.300000,1400
2023-10-20,3.070000,3.452000,3.000000,3.120000,3.120000,90300
2023-10-23,3.190000,3.400000,2.715000,2.720000,2.720000,48400
2023-10-24,2.930000,2.930000,2.500000,2.500000,2.500000,6800
2023-10-25,2.390000,2.450000,2.200000,2.230000,2.230000,3500
2023-10-26,2.230000,2.750000,2.230000,2.350000,2.350000,6600
2023-10-27,2.340000,2.340000,2.250000,2.290000,2.290000,2900
2023-10-30,2.610000,2.610000,2.040000,2.060000,2.060000,7800
2023-10-31,2.075000,2.090000,1.940000,1.940000,1.940000,5300
2023-11-01,1.760000,1.760000,1.510000,1.510000,1.510000,4300
2023-11-02,1.530000,1.530000,1.480000,1.490000,1.490000,4800
2023-11-03,1.541000,1.541000,1.480000,1.510000,1.510000,3300
2023-11-06,1.450000,1.500000,1.420000,1.420000,1.420000,3000
2023-11-07,1.430000,1.510000,1.430000,1.495000,1.495000,3700
2023-11-08,1.540000,1.850000,1.498000,1.578000,1.578000,70800
2023-11-09,1.630000,1.697000,1.435000,1.480000,1.480000,16300
2023-11-10,1.420000,1.550000,1.330000,1.510000,1.510000,37100
2023-11-13,1.510000,1.710000,1.400000,1.531000,1.531000,17300
2023-11-14,1.680000,1.800000,1.660000,1.710000,1.710000,15900
2023-11-15,1.721000,3.230000,1.721000,2.950000,2.950000,1542400
2023-11-16,2.980000,3.440000,2.670000,3.380000,3.380000,132600
2023-11-17,3.440000,3.800000,2.930000,3.320000,3.320000,85300
2023-11-20,3.900000,6.400000,3.701000,4.650000,4.650000,4269700
2023-11-21,4.300000,5.040000,3.900000,3.900000,3.900000,313800
2023-11-22,3.790000,4.140000,2.920000,3.195000,3.195000,152700
2023-11-24,3.030000,3.440000,2.973000,3.270000,3.270000,51700
2023-11-27,3.490000,4.450000,3.490000,3.905000,3.905000,172000
2023-11-28,4.000000,4.044000,3.331000,3.630000,3.630000,78700
2023-11-29,4.000000,4.110000,3.500000,3.700000,3.700000,116800
2023-11-30,3.770000,3.770000,3.550000,3.550000,3.550000,54100
2023-12-01,3.610000,4.400000,3.400000,3.800000,3.800000,95400
2023-12-04,4.210000,4.300000,3.570000,3.600000,3.600000,803300
2023-12-05,3.370000,3.598000,2.830000,2.920000,2.920000,180300
2023-12-06,2.900000,2.946000,2.042000,2.089000,2.089000,339100
2023-12-07,2.080000,2.080000,1.770000,1.810000,1.810000,284600
2023-12-08,1.800000,1.810000,1.560000,1.580000,1.580000,224600
2023-12-11,1.600000,1.639000,1.530000,1.540000,1.540000,267600
2023-12-12,1.530000,1.610000,1.350000,1.400000,1.400000,579700
2023-12-13,1.380000,1.420000,1.230000,1.380000,1.380000,470400
2023-12-14,1.480000,1.598000,1.394000,1.520000,1.520000,98200
2023-12-15,1.510000,1.760000,1.285000,1.300000,1.300000,223700
