Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23,22.100000,23.900000,15.100000,15.800000,15.800000,4421100
2021-04-26,15.350000,15.880000,14.305000,15.400000,15.400000,651600
2021-04-27,15.360000,15.940000,14.720000,15.340000,15.340000,287500
2021-04-28,16.200001,16.872999,15.620000,16.200001,16.200001,374300
2021-04-29,16.410000,16.700001,16.000000,16.000000,16.000000,175900
2021-04-30,16.100000,16.370001,15.520000,16.370001,16.370001,128500
2021-05-03,16.400000,17.469999,16.200001,17.100000,17.100000,128600
2021-05-04,17.150000,17.240000,16.055000,16.959999,16.959999,153100
2021-05-05,17.190001,17.250000,16.620001,17.100000,17.100000,120700
2021-05-06,17.230000,17.230000,16.080000,16.670000,16.670000,241500
2021-05-07,16.700001,18.420000,16.580000,18.389999,18.389999,140500
2021-05-10,18.500000,18.500000,17.709999,17.860001,17.860001,67300
2021-05-11,17.020000,17.728001,16.020000,16.400000,16.400000,104200
2021-05-12,16.190001,16.780001,15.630000,15.910000,15.910000,68000
2021-05-13,16.070000,16.820000,14.080000,15.080000,15.080000,314800
2021-05-14,15.250000,15.880000,14.620000,15.330000,15.330000,185100
2021-05-17,15.190000,16.610001,14.800000,15.970000,15.970000,112500
2021-05-18,16.650000,17.500000,16.299999,16.650000,16.650000,412700
2021-05-19,16.700001,16.700001,15.760000,16.320000,16.320000,114100
2021-05-20,16.219999,16.780001,15.865000,16.280001,16.280001,194700
2021-05-21,16.730000,17.100000,15.530000,16.000000,16.000000,260900
2021-05-24,15.640000,17.400000,15.640000,17.350000,17.350000,304500
2021-05-25,18.330000,20.700001,18.174000,18.980000,18.980000,707700
2021-05-26,19.690001,20.879999,19.563000,20.000000,20.000000,351200
2021-05-27,20.360001,20.830000,20.090000,20.299999,20.299999,137300
2021-05-28,20.500000,20.700001,19.850000,19.870001,19.870001,112200
2021-06-01,20.180000,20.740000,19.030001,19.879999,19.879999,102700
2021-06-02,20.270000,20.350000,18.510000,19.620001,19.620001,122600
2021-06-03,19.410000,19.600000,18.730000,19.059999,19.059999,88300
2021-06-04,19.180000,19.230000,18.325001,19.120001,19.120001,100800
2021-06-07,18.959999,19.490000,18.309999,19.129999,19.129999,137100
2021-06-08,19.139999,19.879999,18.850000,19.340000,19.340000,146700
2021-06-09,19.600000,19.870001,19.260000,19.520000,19.520000,73900
2021-06-10,19.780001,20.320000,19.497000,19.879999,19.879999,75000
2021-06-11,19.879999,20.108999,19.570000,19.700001,19.700001,131100
2021-06-14,19.930000,20.270000,19.190001,19.360001,19.360001,122300
2021-06-15,19.129999,19.629999,18.049999,18.590000,18.590000,126200
2021-06-16,18.730000,19.510000,18.475000,19.020000,19.020000,118100
2021-06-17,19.080000,19.639999,18.299999,18.490000,18.490000,147800
2021-06-18,18.020000,19.209999,17.959999,18.049999,18.049999,368700
2021-06-21,18.150000,18.520000,16.840000,17.219999,17.219999,308600
2021-06-22,17.160000,17.200001,15.654000,16.070000,16.070000,209500
2021-06-23,16.129999,16.420000,15.700000,16.150000,16.150000,210700
2021-06-24,16.219999,17.900000,16.219999,17.469999,17.469999,297900
2021-06-25,17.440001,17.969999,16.860001,17.240000,17.240000,1020800
2021-06-28,17.290001,17.290001,16.252001,16.760000,16.760000,162100
2021-06-29,16.660000,16.910000,16.049999,16.299999,16.299999,130200
2021-06-30,16.160000,16.750000,15.250000,15.540000,15.540000,131700
2021-07-01,15.560000,16.430000,15.500000,16.209999,16.209999,383700
2021-07-02,16.100000,16.219999,15.760000,15.870000,15.870000,65400
2021-07-06,15.800000,16.680000,15.250000,16.559999,16.559999,494700
2021-07-07,17.930000,18.350000,17.219999,18.150000,18.150000,160300
2021-07-08,18.000000,18.639999,17.350000,18.549999,18.549999,78200
2021-07-09,18.639999,19.910000,18.459999,19.790001,19.790001,151200
2021-07-12,19.840000,21.049999,19.253000,20.910000,20.910000,87100
2021-07-13,20.820000,22.219999,19.889999,20.139999,20.139999,74900
2021-07-14,20.150000,20.150000,18.165001,19.750000,19.750000,87500
2021-07-15,19.410000,19.920000,18.879999,19.600000,19.600000,63700
2021-07-16,19.680000,20.309999,19.299999,19.620001,19.620001,56800
2021-07-19,18.809999,19.731001,18.809999,19.219999,19.219999,32500
2021-07-20,19.139999,19.695000,18.700001,19.200001,19.200001,73400
2021-07-21,19.280001,19.600000,18.910000,19.049999,19.049999,54700
2021-07-22,19.219999,19.660000,18.330000,18.459999,18.459999,40900
2021-07-23,18.559999,18.559999,17.201000,17.459999,17.459999,46800
2021-07-26,17.219999,17.219999,16.510000,16.740000,16.740000,64100
2021-07-27,16.780001,17.190001,15.710000,17.059999,17.059999,53800
2021-07-28,17.180000,17.620001,16.950001,17.549999,17.549999,37200
2021-07-29,17.530001,18.000000,17.180000,17.379999,17.379999,28100
2021-07-30,17.280001,17.410000,16.100000,16.650000,16.650000,66800
2021-08-02,16.660000,17.240000,15.760000,15.860000,15.860000,49000
2021-08-03,15.900000,16.500000,15.860000,15.920000,15.920000,19800
2021-08-04,15.970000,16.290001,15.800000,16.200001,16.200001,16900
2021-08-05,16.309999,17.325001,16.040001,16.480000,16.480000,35800
2021-08-06,16.520000,16.938000,16.480000,16.920000,16.920000,21400
2021-08-09,17.000000,17.000000,15.830000,16.209999,16.209999,43600
2021-08-10,16.240000,16.240000,15.340000,15.740000,15.740000,53900
2021-08-11,15.950000,16.500000,15.770000,16.480000,16.480000,68800
2021-08-12,16.719999,18.430000,16.049999,18.400000,18.400000,79300
2021-08-13,18.389999,18.389999,17.230000,17.629999,17.629999,59400
2021-08-16,17.719999,17.719999,15.940000,16.230000,16.230000,62200
2021-08-17,16.120001,16.870001,15.500000,16.370001,16.370001,61800
2021-08-18,16.540001,16.625000,15.650000,16.400000,16.400000,53700
2021-08-19,16.299999,16.910000,15.580000,16.900000,16.900000,52500
2021-08-20,16.719999,17.370001,15.683000,17.230000,17.230000,57500
2021-08-23,17.379999,18.150000,17.309999,18.080000,18.080000,54600
2021-08-24,18.070000,18.295000,17.549999,17.940001,17.940001,39700
2021-08-25,17.680000,18.000000,17.355000,17.750000,17.750000,21500
2021-08-26,17.660000,17.780001,17.250000,17.500000,17.500000,19300
2021-08-27,17.690001,17.959999,17.379999,17.660000,17.660000,37700
2021-08-30,17.660000,17.990000,16.940001,17.110001,17.110001,20400
2021-08-31,16.660000,17.730000,16.629999,17.530001,17.530001,30600
2021-09-01,17.620001,18.780001,17.620001,17.969999,17.969999,75700
2021-09-02,17.900000,18.139999,17.860001,18.040001,18.040001,35800
2021-09-03,18.145000,18.145000,17.500000,17.750000,17.750000,14500
2021-09-07,17.600000,18.100000,16.959999,17.530001,17.530001,33200
2021-09-08,17.325001,17.760000,16.530001,17.160000,17.160000,38500
